qid,risk,gated,action_taken,skip_reason,ent,mnorm,ndcg_base_k0,ndcg_base_k1,ndcg_ours,delta_net
156493,0.9788882836478193,0,0,none,3.9116575717926025,0.02987868234267475,0.8865613677260856,0.8865613677260856,0.8865613677260856,0.0
1110199,0.9809047342783417,1,1,ce_blend(alpha=0.60),3.911590576171875,0.5601092321937645,0.7372115988067036,0.7372115988067036,0.733803864982938,-0.0034077338237655797
1063750,0.9788736704557677,0,0,none,3.9118454456329346,0.4734547817747216,0.25345807897247025,0.25345807897247025,0.25345807897247025,0.0
130510,0.9803225784962032,0,0,none,3.909428119659424,0.09666142008011272,0.9696030595723777,0.9696030595723777,0.9696030595723777,0.0
489204,0.978937108444707,0,0,none,3.911909818649292,0.15591334222102904,0.08364775006875515,0.08364775006875515,0.08364775006875515,0.0
573724,0.9783236966199398,0,0,none,3.9115588665008545,0.14264354706181678,0.41956076118560226,0.41956076118560226,0.41956076118560226,0.0
168216,0.980296705594368,0,0,none,3.911736249923706,0.5548644189587456,0.9094245487194395,0.9094245487194395,0.9094245487194395,0.0
1133167,0.9790317298199895,0,0,none,3.9119322299957275,0.6491625105254201,0.5152926806160203,0.5152926806160203,0.5152926806160203,0.0
527433,0.9826931914279093,1,1,ce_blend_top2lock(alpha=0.60),3.911566734313965,1.8627548593668855,0.2937447198339353,0.2937447198339353,0.3309634372726233,0.03721871743868799
1037798,0.9799547951335341,0,0,none,3.9116721153259277,0.5361661778179011,0.19080559485628876,0.19080559485628876,0.19080559485628876,0.0
915593,0.9835083323836352,1,1,ce_blend_top2lock(alpha=0.60),3.9114012718200684,1.105468657977832,0.5340410323541185,0.5340410323541185,0.6956396985286062,0.1615986661744877
264014,0.9795232292873008,0,0,none,3.9117958545684814,0.542727664831267,0.8282708017607954,0.8282708017607954,0.8282708017607954,0.0
1121402,0.979420896354162,0,0,none,3.909985065460205,0.24231372423660263,0.7640796178876559,0.7640796178876559,0.7640796178876559,0.0
