qid,risk,gated,action_taken,skip_reason,ent,mnorm,ndcg_base_k0,ndcg_base_k1,ndcg_ours,delta_net
1030303,0.9838014837972016,0,0,none,3.910881996154785,1.177957557228148,0.7054765039205166,0.7054765039205166,0.7054765039205166,0.0
1037496,0.9807504417091168,0,0,none,3.9099605083465576,0.558291486636258,0.672487470728091,0.672487470728091,0.672487470728091,0.0
1043135,0.9825952208012284,0,0,none,3.911389589309693,1.1742297881716175,0.7249737961113745,0.7249737961113745,0.7249737961113745,0.0
1051399,0.9828358983209542,0,0,none,3.9110724925994873,0.5733275776385438,0.8697389505140134,0.8697389505140134,0.8697389505140134,0.0
1064670,0.9833974231137276,0,0,none,3.9083967208862314,0.3276723776187851,0.752377153303594,0.752377153303594,0.752377153303594,0.0
1071750,0.9809058540359958,0,0,none,3.909771203994751,0.3786854635953415,0.3907375903306646,0.3907375903306646,0.3907375903306646,0.0
1105792,0.9800811869288651,0,0,none,3.909171342849731,0.0592900979512479,0.6295770883207445,0.6295770883207445,0.6295770883207445,0.0
1106979,0.9795125635212938,0,0,none,3.909926414489746,0.2726784498320642,0.7304835005548027,0.7304835005548027,0.7304835005548027,0.0
1108651,0.9835827791863396,0,0,none,3.911411285400391,1.1695257170281794,0.4890860047586217,0.4890860047586217,0.4890860047586217,0.0
1109707,0.9802009198238676,0,0,none,3.9118494987487793,0.2186307957208181,0.4200813085618038,0.4200813085618038,0.4200813085618038,0.0
1110678,0.9841317977861096,0,0,none,3.910986423492432,1.0850931259179906,0.8260884317019316,0.8260884317019316,0.8260884317019316,0.0
1113256,0.9787321721974286,0,0,none,3.9076855182647705,0.014523519933723,0.9942173966026456,0.9942173966026456,0.9942173966026456,0.0
1115210,0.9852050578631056,0,0,none,3.911153793334961,2.367651491835134,0.0780919399893272,0.0780919399893272,0.0780919399893272,0.0
1116380,0.9794320378991426,0,0,none,3.911480188369751,0.1109959598652924,0.044515532234569,0.044515532234569,0.044515532234569,0.0
1121353,0.9812671392844596,0,0,none,3.911190032958984,0.1692510189809143,0.9172394046616252,0.9172394046616252,0.9172394046616252,0.0
1122767,0.979270283746318,0,0,none,3.911536455154419,0.2925929971300945,0.3605483978555756,0.3605483978555756,0.3605483978555756,0.0
1127540,0.9822916949871596,0,0,none,3.907403707504273,0.3216394834300495,0.8311487723933293,0.8311487723933293,0.8311487723933293,0.0
1131069,0.9889649573413252,0,0,none,3.9109373092651367,3.2758899494737275,1.0,1.0,1.0,0.0
1132532,0.9807848205716296,0,0,none,3.911756753921509,1.1320323489932431,0.8337448843457721,0.8337448843457721,0.8337448843457721,0.0
1133579,0.9806874493480116,0,0,none,3.911709547042847,1.0989853269116154,0.2670708014171927,0.2670708014171927,0.2670708014171927,0.0
1136043,0.9796938853128446,0,0,none,3.9104490280151367,0.0579639038917066,0.4188846426542478,0.4188846426542478,0.4188846426542478,0.0
1136047,0.9821217712806988,0,0,none,3.910786628723145,0.593370717765275,0.3009399410736003,0.3009399410736003,0.3009399410736003,0.0
1136962,0.9805327121140114,0,0,none,3.910746335983277,0.2764387718314834,0.748466552802194,0.748466552802194,0.748466552802194,0.0
118440,0.9878043981359024,0,0,none,3.9099161624908447,1.3815957321551928,0.1510257463937861,0.1510257463937861,0.1510257463937861,0.0
121171,0.9827467670332104,0,0,none,3.9109160900115967,0.6112237778051833,0.514146637771324,0.514146637771324,0.514146637771324,0.0
